Title,Link,Published
"Live No Kings protest updates: Massive crowds march, rally throughout Bay Area - ABC7 San Francisco",https://news.google.com/rss/articles/CBMirwFBVV95cUxNaG1nbDU4dDJPUFVTRVhPZ21JVDFkOTFvUDVMX2VMSUN3b2x5YzFEdXZ1VTZsZ3cwcHBpc1NRS01DbzlmS2tHSV9hcXJ2SzBXeklNNlkzZHZKWFpDMEFhblhzVGJsbnJGZ3FmYjZOQ2Z1QWU1TWdQMGhueHRSM20ycThDa2NRZkI2eEc3aUF5enRGVmFfeVA1elg0cGs3bXBRakpSMVRrYTRGWTNSTjJV?oc=5,"Sun, 19 Oct 2025 06:39:00 GMT"
Gaza ceasefire: US says Hamas is planning 'imminent' attack on civilians - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1adHgwVDJ2QU8zSWlVQkZzYnJnWk13YTRqNi1aempyTDR6WmJrdl9hRzB5X25mQzZVTnFad3EwTVdYNVM0QVFLZThaX1cxWWFZZDREdFhjNEVtd9IBX0FVX3lxTE5EXzA5RW0weTI1aVBmTGlJdDNjdWc1RDRwREVjQmw0WXE2dlVTdERsVXdUMkVMZE1xSFVjeVpGa0h5T2t3N2lGRjZ1ZV84T1pXNk1nSldfMjVmNjFwZUEw?oc=5,"Sun, 19 Oct 2025 07:42:20 GMT"
"Israeli Military Fires on Vehicle, Saying It Crossed Gaza Cease-Fire Line - The New York Times",https://news.google.com/rss/articles/CBMimwFBVV95cUxNdXJPdDJCc1dUeGJmZl9zSHo0NjNxUnZYOXdReEM0WndBelc5Skk0QVZZNTZhenNJUGhGTS1mbkdyRUQxczRLMnFyZ0VOcWR6dXRlV3hnU1l2Q3lrYzh4NHhVR2NZVnpEbVNNQ2UxWHRyMkIwU19oQlNvblU5SnE3dU1qNkZfUTFjVTE4VFcwV3FfTk5yRXpKLTFFTQ?oc=5,"Sat, 18 Oct 2025 15:48:01 GMT"
"Trump says 2 survivors of US strike on submarine being sent to Ecuador, Colombia in move that avoids legal fight - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMirwFBVV95cUxQQXFaVDV5Z2stR21wVnJJMm9wVG1LWVJSbDhUX3lscGJ6eENDaE0xekJjNGZ3MUhjdXpOUWFzbkU1RzhDV25oaFBOQmw2NGJXMk1VbjYzMjZaYUlUSkNkMHB4endaeEE3ekRoNXZScXhBSkdxckhJaGhweTJGZkhZdFRvS3RuSy03cDl0SnUxUkFmN0tYWVpqUGlaZkVMR3g2R19iY09mZFVkQmM3aGow0gG0AUFVX3lxTE56Qzg3QUlyU3BVZk1OR19RRElFanpPUVI1cUlhNUUzdE00d1RKMjZyMGkyb09mZXR2YUxCQ3ZpekVNc1d2eGJmZWZPN1MwOXZtZkcydTMzVlZMS2FWdE84MUNSb2F2TzBpaWxaUXlRcXFRQmVCanJoakdmVzdYdEQ5ZlFXYzN4YXJBQUs1RGNMZVhOWUk1SExsS3BvUTJHRWJfU0pvWkRFckVvWHNNOWNXQ3lUZA?oc=5,"Sat, 18 Oct 2025 21:28:22 GMT"
Newsom closes highway section amid feud with White House over Marine exercise - The Washington Post,https://news.google.com/rss/articles/CBMikAFBVV95cUxNRDVKdU9Wb1l4ZGlkTlkyanpON0VBZXpjNjFzY2VnV0MtWklSTFpWNzZFTkRtZGd6UU9vLUZKNG5OSXNjNm5YVDVOTnNvbERQcUNtTjNmVHJqSEhIcHNxRVNtQTdiT3hZQjhKWVZuZlVYNTNHZE5EYkdxTXJhRWVzOWVhZm0yd0tZR3Z4SVFZa1o?oc=5,"Sun, 19 Oct 2025 03:25:56 GMT"
How George Santos Won His Freedom - The New York Times,https://news.google.com/rss/articles/CBMigAFBVV95cUxNNGQ4ZE1VaGFfbWxQTncyOTRob29DRExuRmJycDJpZGN2cERhdURhTEtjLVZsSTh6akV2LS1GRGx0aW1DNDhOczJhWDBzeWxReVJQcnN5RG55R1l0UFB2YUQzRE1Qc2lSd2Zma0paQnhHVEJGTm1fWnFCTURGakkzdg?oc=5,"Sat, 18 Oct 2025 22:53:00 GMT"
"Human remains found in shallow grave 'believed to be' missing Philadelphia woman Kada Scott: Police - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMipAFBVV95cUxOX0NZZmZLNWkxcksxTWRjRFpZUU00dkF6a1FyWjZiWS1TdjV6Zzd6bC16emMtVUVfU2FRenc0QzRwRjR6clF4c2FqdmlpdEJQZDE5aEVyNXpxY1lXMGZWNGJHOVB4V2Q3S3A0QXB4dHRWSDFmcV8tei1nczktXzVaeS1fN2E3dTJjV1pfQ01HS085NGVTNzJuQTZDRHpwZTk4YW5mSNIBqgFBVV95cUxOMUt1ZERLT3I2SFJPN3M5X1ZtTjl5S1BzZ2FlY2R2RGVIWFhlM3FWREwzd1RKRkdrLWVFWUVsRWhLQ1g4Z1pTZUtuRm9nMkZxSldqNWpXcE5fQ3FIRzF5MlIxSDBzRXh5dEplcWF2T21CV3BIRnNmOXp4TmdRMnRrTlhzM3AtVHpSR1VYV3dWZEdfQjlEc3o1aW5LQTZxdk4zWEdvZnBRVERPQQ?oc=5,"Sat, 18 Oct 2025 23:39:21 GMT"
"After Zelenskyy meeting, Trump calls on Ukraine and Russia to 'stop where they are' and end the war - NPR",https://news.google.com/rss/articles/CBMikAFBVV95cUxNaEZKNnFKR0lWa0ZNV0I4N0lYMkZkZG9yQUFYRGcySmw3VjJQOE0xZzByWnl0aDdrN1VoWWptWS1MRnV3UUlmSk9qdEtUOVozUFJKU1Z6cUdIYWdXUFlxNElIUzlvR1ZYTjFNWnJJRURleXYxUkN5RWltMUNNWVJJNGNxWVNQZXcwMjNVZnZHdm0?oc=5,"Sat, 18 Oct 2025 08:02:38 GMT"
Vermont Republican lawmaker resigns over racist and antisemitic group chat - The Guardian,https://news.google.com/rss/articles/CBMinwFBVV95cUxQcXZlZjU2X0duQW1yV1UyUWVQMXA4SWdzeTdWMmo4QVFDUWRoQlgyeDVObFZpcGw4ZHZzS1ZsT3cxOFRaZVVnZEdFX3FLSW1CajlaY2xvNWd3Zjk3UTVDY043MlVQRTNQamFfZWRuVnhiRURMWTljZkRnclhyNWZobXloTGF5aDQ3NTFfNld1MnU4c0NWTUpaTklrTmVkeVU?oc=5,"Sat, 18 Oct 2025 18:00:00 GMT"
Why recovery will be tough for Alaska’s villages flooded by an unusually powerful storm - PBS,https://news.google.com/rss/articles/CBMivwFBVV95cUxPSHpmY2FScVpoQzhhMEtFZkh6SEJfRWhRdmtCeE04LUNYS24ybmJxblh2Z0VpZ0t2aVdRVW5JVUNiWjdWbU50U2NrWVNiaDhQRlVOWFRzX3Z6b0VWZGMzaXpyVk03VzdOV05aeXZfbGRQWms4ZkpwOUR1cU5YX0p2OERXaVp0RnR1dVRsdm94N29MX1czSEwwcDNEYmtlZG1IUDU1c3ZTelBWN0FjVlVSNFRhaUF0Z203Z0pLRlJrbw?oc=5,"Sat, 18 Oct 2025 17:53:02 GMT"
